barcode;sample;runnumber
01;1;120
02;2;120
03;3;120
04;4;120
05;6;120
06;9;120
07;10;120
08;11;120
09;13;120
10;14;120
11;15;120
01;16;121
02;17;121
03;18;121
04;19;121
05;26;121
06;27;121
07;29;121
08;30;121
09;31;121
10;33;121
11;35;121
01;36;122
02;37;122
03;38;122
04;39;122
05;41;122
06;42;122
07;43;122
08;45;122
09;47;122
10;48;122
11;49;122
01;52;124
02;53;124
03;54;124
04;55;124
05;56;124
06;59;124
07;60;124
08;61;124
09;62;124
10;63;124
11;64;124
01;40;135
02;44;135
03;46;135
04;50;135
05;51;135
06;57;135
07;58;135
08;65;135
09;66;135
10;68;135
11;69;135
12;70;135
13;71;135
14;72;135
15;73;135
16;Mleko 19;135
01;92;136
02;75;136
03;76;136
04;77;136
05;78;136
06;79;136
07;80;136
08;83;136
09;84;136
10;85;136
11;86;136
12;87;136
13;88;136
14;89;136
15;90;136
16;Mleko 28;136
01;91;137
02;94;137
03;95;137
04;97;137
05;98;137
06;99;137
07;100;137
08;101;137
09;102;137
10;103;137
11;104;137
12;105;137
13;107;137
14;108;137
15;109;137
16;Mleko 39;137
01;35;138
02;36;138
03;37;138
04;38;138
05;39;138
06;40;138
11;41;143
12;42;143
13;46;143
15;50;143
16;51;143
01;60;125
02;61;125
03;62;125
04;63;125
05;64;125
01;43;127
02;45;127
03;47;127
04;48;127
05;49;127
01;17;132
02;18;132
02;27;132
04;29;132
05;33;132
09;35;132
11;52;144
12;53;144
13;55107;144
15;56;144
16;58;144
11;52;147
12;53;147
13;55;147
15;56;147
16;58;147
11;59;148
12;61;148
13;64;148
15;65;148
16;66;148
11;68;149
12;70;149
13;71;149
15;72;149
16;75;149
07;70;151
08;75;151
09;76;151
10;78;151
11;86;151
12;89;151
13;90;151
07;95;152
08;99;152
09;101;152
10;102;152
11;107;152
12;109;152
13;110;152
